Iteration,Train_MAE_0,Test_MAE_0,Train_RMSE_0,Test_RMSE_0,Train_MAE_1,Test_MAE_1,Train_RMSE_1,Test_RMSE_1,Tot_Train_MAE,Tot_Test_MAE,Tot_Train_RMSE,Tot_Test_RMSE
0.0,0.7847895458919985,0.7984227413986441,0.986717774961327,1.0038268621906532,0.8536956876267257,0.9211551128534033,1.063363766273561,1.1408540880850724,0.820746261218469,0.8624671477554919,1.0274269210266118,1.0775069113441116
1.0,0.7762352729335896,0.8013121598651366,0.9774183791535973,1.0063365628742096,0.8498877512180751,0.9161987523918682,1.057703196153278,1.1365434726598007,0.8146687293438999,0.8612624690584026,1.0201013636240617,1.0762484819767402
2.0,0.7609832310623384,0.781309229309169,0.9638395538868818,0.9902678240045165,0.8448723670971807,0.9145721596371839,1.0505784987243438,1.1337762855192968,0.8047583969249221,0.8508487090818523,1.010031581058392,1.0675631818379445
3.0,0.7540935414274973,0.7702702486216964,0.9574858102955929,0.9742356041076518,0.8222837894960233,0.8884312452807873,1.0317292350999738,1.105934785710566,0.7896766879528192,0.83192921272274,0.9969176988437385,1.0450318484925125
4.0,0.7395409488063157,0.7793619327233922,0.9374544321438566,0.9790954892690131,0.8211144794745733,0.8982819136501414,1.0262593996992548,1.1190507103317746,0.7821077816977215,0.8414169512335555,0.984794397160593,1.0544472869031072
5.0,0.7464514836070584,0.7864364801701237,0.9412749211991535,0.9858164437795467,0.7984360142293405,0.8649859570624406,1.002520078750415,1.0940952615641784,0.7735781362088184,0.8274252963852796,0.9737146990247579,1.0437210878013745
6.0,0.737601308569843,0.7674785343475251,0.9395472528577193,0.9742392216953549,0.7801609379899738,0.8648658627092354,0.9892509476444962,1.1004057092042583,0.7598098438460023,0.8182973489575257,0.9658029010898174,1.041983310613938
7.0,0.7393805885878431,0.7883270266721869,0.9344423296766408,0.9972628816340696,0.778893017062451,0.876024546971401,0.98348378392568,1.0875066802314672,0.7599990284939477,0.8340894898264257,0.9603457226053147,1.0453264968984342
8.0,0.7488451306543484,0.7583670921414538,0.947886928059986,0.9614637781472333,0.7698461198282316,0.884804255015513,0.9764171771078761,1.09610637584151,0.759803901096128,0.8243447388024904,0.9628801030040894,1.0339130922949644
9.0,0.7341316965324836,0.7671855146736952,0.9365543400511386,0.9810453144176223,0.7653459098126095,0.8516547974648655,0.9713554958474188,1.0724610289785512,0.7504199482441243,0.8112634136633952,0.9548725918587483,1.0297609919535906
10.0,0.7419015166318321,0.771622563811118,0.9417160228032,0.9767519437201486,0.7717940626892207,0.8512507116340364,0.9794153178821792,1.0719208524057275,0.7575000937965036,0.8131742538515403,0.9615727504612405,1.0275134545400952
11.0,0.7372323694345201,0.7726166238611518,0.9365167318184141,0.9800747302527104,0.7690397422685454,0.8517364413522179,0.9738799571436495,1.0711264172526178,0.7538301446325409,0.8139030561382736,0.956195836160309,1.0285935365706291
12.0,0.7307696175779053,0.7799364245438911,0.9279869578810042,0.9936568677678687,0.7624680491881111,0.8573381053282084,0.9656424681657504,1.0830906187096885,0.7473105448887337,0.8203262959209068,0.9478230791290584,1.0412841063023317
13.0,0.7472037639938769,0.7583385217110726,0.9433283626639202,0.9597708588834626,0.7581267153569616,0.8675693603250136,0.959350717702581,1.0900624957393161,0.7529035962990919,0.8153375361680628,0.951722827745739,1.0298185327362126
14.0,0.7313094677532777,0.7763662891208549,0.9340752652516814,0.9899912996856854,0.7623030506253233,0.8578423777212455,0.9636983880313508,1.0702525363368163,0.7474825897453319,0.8188822746333927,0.9496485456375136,1.0326519296193828
15.0,0.7303673665206641,0.7635383303440044,0.9306573069584092,0.9722689731265864,0.7542196942077656,0.85723058509079,0.9548325133801565,1.0769276437474304,0.7428140270784496,0.8124289756103537,0.9433497504798549,1.0282120672880164
16.0,0.7339511143204644,0.7723652650411074,0.9347755998223354,0.9815275773666573,0.757824717386177,0.8482766781352317,0.9635833423334935,1.0629652934260883,0.7464088768310354,0.8119774825000906,0.9499171063366154,1.0248312428171094
17.0,0.7333630224425437,0.7817439863171227,0.9273681025053849,0.9848605846296614,0.7615642578563171,0.8287947225113472,0.9664273941251978,1.0516442992802921,0.7480790371271503,0.8062960782590805,0.9479508983682943,1.0202553163817807
18.0,0.7252093254105458,0.7486880984747213,0.9175457637799911,0.9524638097832097,0.7643446596724246,0.8640210601322453,0.9621601269331,1.081091693604163,0.7456309893991923,0.8088713327362377,0.9410904166689259,1.0216071681768475
19.0,0.7459745975492575,0.7604430145590534,0.9450210427938122,0.9711733003547173,0.7550848188669662,0.8468712771423215,0.9526471286789577,1.0526692531322581,0.7507285081040391,0.8055431515806829,0.9490081450743437,1.0145167412426528
